Name,Category,Area,Address,Rating,Gallery_ID,Gallery_Name,Ownership,S.No,Venue / Organisation,Venue Type,Main Activities,Theatre_Name,Location,Zone,Type,Screen_Count,Chain_Operator,Cultural Centre / Institution,Main Cultural Activities,Management / Organisation,City / Metro Area,Status
,Modern Art,Chennai,,,30.0,Madras Art Gallery,Private,,,,,,,,,,,,,,,
,Paintings,Anna Nagar,,,31.0,Canvas Art Gallery,Private,,,,,,,,,,,,,,,
,Contemporary,Velachery,,,32.0,Spectrum Art Gallery,Private,,,,,,,,,,,,,,,
,Fine Art,Porur,,,33.0,Creative Canvas Gallery,Private,,,,,,,,,,,,,,,
,Heritage Art,Mylapore,,,34.0,Heritage Arts Centre,Trust,,,,,,,,,,,,,,,
,Handicrafts,Besant Nagar,,,35.0,Artisan Gallery Chennai,Private,,,,,,,,,,,,,,,
,Exhibition Hall,Kilpauk,,,36.0,Chennai Creative Space,Private,,,,,,,,,,,,,,,
,Museum Gallery,Egmore,,,37.0,Museum Art Wing,Government,,,,,,,,,,,,,,,
,Craft Gallery,Mylapore,,,38.0,Heritage Craft Gallery,Private,,,,,,,,,,,,,,,
,Exhibition Centre,Nandanam,,,39.0,Fine Arts Exhibition Hall,Government,,,,,,,,,,,,,,,
,Art Centre,Guindy,,,40.0,Visual Arts Centre,Government,,,,,,,,,,,,,,,
,Music & Dance,Royapettah,,,,,,1.0,The Music Academy Madras,Sabha / Performing Arts Venue,"Classical music, dance, concerts",,,,,,,,,,,
,Music & Dance,Alwarpet / T.T.K. Road,,,,,,2.0,Narada Gana Sabha,Sabha / Performing Arts Venue,"Music, dance, drama, cultural programmes",,,,,,,,,,,
,Music & Dance,T. Nagar,,,,,,3.0,Sri Krishna Gana Sabha,Sabha / Performing Arts Venue,"Music, dance, theatre, festivals",,,,,,,,,,,
,Music & Dance,T. Nagar,,,,,,4.0,Vani Mahal - Sri Thyaga Brahma Gana Sabha,Sabha / Performing Arts Venue,"Classical concerts, dance, drama",,,,,,,,,,,
,Music & Dance,Mylapore,,,,,,5.0,Mylapore Fine Arts Club,Sabha / Performing Arts Venue,"Classical music, dance, drama",,,,,,,,,,,
,Music & Dance,Triplicane,,,,,,6.0,Sri Parthasarathy Swami Sabha,Sabha / Performing Arts Venue,"Music, dance, cultural programmes",,,,,,,,,,,
,Music & Dance,Mylapore,,,,,,7.0,Rasika Ranjani Sabha,Sabha / Performing Arts Venue,"Music, dance, cultural programmes",,,,,,,,,,,
,Music & Dance,Mylapore / Abhiramapuram,,,,,,8.0,Karthik Fine Arts,Fine Arts Organisation / Venue,"Music, dance, drama",,,,,,,,,,,
,Music & Dance,Mylapore,,,,,,9.0,Brahma Gana Sabha,Sabha / Performing Arts Venue,Classical music and dance,,,,,,,,,,,
,Music & Dance,Adyar,,,,,,10.0,Hamsadhwani,Performing Arts Organisation / Venue,Music and dance,,,,,,,,,,,
,Music & Dance,T. Nagar,,,,,,11.0,Indian Fine Arts Society,Fine Arts Organisation / Venue,"Classical music, dance, lectures",,,,,,,,,,,
,Music & Dance,Mylapore,,,,,,12.0,Sri Kapali Fine Arts,Fine Arts Organisation / Venue,"Music, dance and cultural programmes",,,,,,,,,,,
,Music & Dance,T. Nagar,,,,,,13.0,Bharat Kalachar,Cultural Organisation / Venue,"Music, dance, theatre and fine arts",,,,,,,,,,,
,Music & Dance,Chennai,,,,,,14.0,Tamil Nadu Eyal Isai Nataka Manram,Government Cultural Organisation,"Tamil music, dance, drama and traditional arts",,,,,,,,,,,
,Music & Dance,Thiruvanmiyur / Adyar,,,,,,15.0,Kalakshetra Foundation,Arts Institution / Performance Venue,"Bharatanatyam, Carnatic music, theatre",,,,,,,,,,,
,Music & Dance,Mylapore,,,,,,16.0,Bharatiya Vidya Bhavan - Chennai Kendra,Cultural Centre / Venue,"Indian classical music, dance, lectures",,,,,,,,,,,
,Music & Dance,Anna Salai,,,,,,17.0,Rani Seethai Hall,Auditorium / Cultural Venue,"Music, dance, stage performances",,,,,,,,,,,
,Music & Dance,George Town,,,,,,18.0,Raja Annamalai Mandram,Auditorium / Cultural Venue,"Music, dance, drama and cultural events",,,,,,,,,,,
,Music & Dance,Triplicane / Marina,,,,,,19.0,Vivekananda Auditorium / Vivekananda House,Cultural / Heritage Venue,"Cultural programmes, music and performances",,,,,,,,,,,
,Music & Dance,Egmore,,,,,,20.0,Museum Theatre - Government Museum Chennai,Theatre / Cultural Venue,"Dance, music, theatre and cultural programmes",,,,,,,,,,,
,Music & Dance,Alwarpet,,,,,,21.0,Sir Mutha Venkatasubba Concert Hall,Auditorium / Performing Arts Venue,"Music, dance and concerts",,,,,,,,,,,
,Music & Dance,Mylapore,,,,,,22.0,Bharatiya Vidya Bhavan Main Auditorium,Auditorium / Performing Arts Venue,"Music, dance, theatre and cultural events",,,,,,,,,,,
,Music & Dance,Alwarpet,,,,,,23.0,Chennaiyil Thiruvaiyaru / Narada Gana Sabha venue,Music Festival Venue,Carnatic music and dance festivals,,,,,,,,,,,
,Dance,Alwarpet,,,,,,24.0,Natyarangam - Narada Gana Sabha Trust,Dance Organisation / Programme Venue,"Indian classical dance, especially Bharatanatyam",,,,,,,,,,,
,Music & Dance,Chennai,,,,,,25.0,Chennai Fine Arts,Fine Arts Organisation / Venue,"Music, dance and cultural programmes",,,,,,,,,,,
,Music & Dance,Nungambakkam,,,,,,26.0,Nungambakkam Cultural Academy,Cultural Academy / Sabha,"Music, dance, drama",,,,,,,,,,,
,Music & Dance,Chennai,,,,,,27.0,Chennai Cultural Academy,Cultural Organisation / Venue,"Music, dance and cultural events",,,,,,,,,,,
,Music & Dance,Mylapore,,,,,,28.0,Brahma Gana Sabha Auditorium,Auditorium / Sabha Venue,Classical music and dance,,,,,,,,,,,
,Music & Dance,Mylapore,,,,,,29.0,Mylapore Fine Arts Club Auditorium,Auditorium / Sabha Venue,"Music, dance and drama",,,,,,,,,,,
,Music & Dance,T. Nagar,,,,,,30.0,Krishna Gana Sabha Auditorium,Auditorium / Sabha Venue,"Music, dance, theatre and festivals",,,,,,,,,,,
,Theatres_List,,,,,,,,,,,Sathyam Cinemas,Royapettah,Central,Multiplex,6.0,PVR INOX,,,,,
,Theatres_List,,,,,,,,,,,Escape Multiplex,Royapettah,Central,Multiplex,8.0,PVR INOX,,,,,
,Theatres_List,,,,,,,,,,,Palazzo,Vadapalani,West,Multiplex,9.0,PVR INOX,,,,,
,Theatres_List,,,,,,,,,,,PVR VR Chennai,Anna Nagar,North-West,Multiplex,10.0,PVR INOX,,,,,
,Theatres_List,,,,,,,,,,,Luxe Cinemas,Velachery,South,Multiplex,11.0,PVR INOX,,,,,
,Theatres_List,,,,,,,,,,,PVR Ampa Skywalk,Aminjikarai,Central,Multiplex,7.0,PVR INOX,,,,,
,Theatres_List,,,,,,,,,,,INOX City Centre,Mylapore,Central,Multiplex,4.0,PVR INOX,,,,,
,Theatres_List,,,,,,,,,,,INOX Marina Mall,Egattur (OMR),South,Multiplex,8.0,PVR INOX,,,,,
,Theatres_List,,,,,,,,,,,PVR Aerohub,Meenambakkam,South,Multiplex,5.0,PVR INOX,,,,,
,Theatres_List,,,,,,,,,,,PVR Grand Galada,Pallavaram,South,Multiplex,5.0,PVR INOX,,,,,
,Theatres_List,,,,,,,,,,,PVR SKLS Galaxy Mall,Redhills,North,Multiplex,5.0,PVR INOX,,,,,
,Theatres_List,,,,,,,,,,,PVR Grand Mall,Velachery,South,Multiplex,5.0,PVR INOX,,,,,
,Theatres_List,,,,,,,,,,,AGS T. Nagar,T. Nagar,Central,Multiplex,4.0,AGS,,,,,
,Theatres_List,,,,,,,,,,,AGS Navalur,Navalur (OMR),South,Multiplex,4.0,AGS,,,,,
,Theatres_List,,,,,,,,,,,AGS Villivakkam,Villivakkam,North-West,Multiplex,5.0,AGS,,,,,
,Theatres_List,,,,,,,,,,,AGS Maduravoyal,Maduravoyal,West,Multiplex,5.0,AGS,,,,,
,Theatres_List,,,,,,,,,,,Mayajaal,Kanathur (ECR),South,Multiplex,16.0,Mayajaal,,,,,
,Theatres_List,,,,,,,,,,,Cinepolis BSR Mall,Thoraipakkam (OMR),South,Multiplex,4.0,Cinepolis,,,,,
,Theatres_List,,,,,,,,,,,MovieMax PR Mall,George Town,Central,Multiplex,3.0,MovieMax,,,,,
,Theatres_List,,,,,,,,,,,Rohini Silver Screens,Koyambedu,West,Multiplex,6.0,Independent,,,,,
,Theatres_List,,,,,,,,,,,Vettri Theatre,Chromepet,South,Dual Screen,2.0,Independent,,,,,
,Theatres_List,,,,,,,,,,,Kamala Cinemas,Vadapalani,West,Multiplex,2.0,Independent,,,,,
,Theatres_List,,,,,,,,,,,Kasi Theatre,Ashok Nagar,Central,Single Screen,1.0,Independent,,,,,
,Theatres_List,,,,,,,,,,,Sangam Multiplex,Kilpauk,Central,Multiplex,3.0,Independent,,,,,
,Theatres_List,,,,,,,,,,,Ega Cinema,Kilpauk,Central,Dual Screen,2.0,Independent,,,,,
,Theatres_List,,,,,,,,,,,Devi Cineplex,Triplicane,Central,Multiplex,4.0,Independent,,,,,
,Theatres_List,,,,,,,,,,,Sri Ganga Cinemas,Kolathur,North,Dual Screen,2.0,Independent,,,,,
,Theatres_List,,,,,,,,,,,Rakki Multiplex,Ambattur,North-West,Dual Screen,2.0,Independent,,,,,
,Theatres_List,,,,,,,,,,,Murugan Cinemas,Ambattur,North-West,Single Screen,1.0,Independent,,,,,
,Theatres_List,,,,,,,,,,,Udhayam Complex,Ashok Nagar,Central,Multiplex,4.0,Independent,,,,,
,Theatres_List,,,,,,,,,,,Woodlands Multiplex,Royapettah,Central,Dual Screen,2.0,Independent,,,,,
,Theatres_List,,,,,,,,,,,Idream Cinemas,Royapuram,North,Single Screen,1.0,Independent,,,,,
,Theatres_List,,,,,,,,,,,Bharath Theatre,Washermanpet,North,Single Screen,1.0,Independent,,,,,
,Theatres_List,,,,,,,,,,,Nadhamuni Cinema,Villivakkam,North-West,Single Screen,1.0,Independent,,,,,
,Theatres_List,,,,,,,,,,,Vidya Theatre,Tambaram,South,Single Screen,1.0,Independent,,,,,
,Theatres_List,,,,,,,,,,,MR Theatre,Tambaram,South,Single Screen,1.0,Independent,,,,,
,Classical arts & cultural institution,Adyar / Thiruvanmiyur,,,,,,1.0,,,,,,,,,,Kalakshetra Foundation,"Music, dance, theatre, arts education",Government of India / Autonomous,Chennai,Active
,Living heritage & cultural museum,"Muttukadu, ECR",,,,,,2.0,,,,,,,,,,DakshinaChitra Heritage Museum,"South Indian architecture, crafts, folk arts, exhibitions",Madras Craft Foundation,Chennai Metropolitan Area,Active
,Performing arts centre,"T. T. Krishnamachari Road, Mylapore",,,,,,3.0,,,,,,,,,,The Music Academy Madras,"Carnatic music, Bharatanatyam, lectures, concerts",Private cultural institution,Chennai,Active
,Sabha / performing arts centre,Alwarpet,,,,,,4.0,,,,,,,,,,Narada Gana Sabha,"Music, dance, drama, cultural programmes",Cultural organisation,Chennai,Active
,Sabha / performing arts centre,T. Nagar,,,,,,5.0,,,,,,,,,,Vani Mahal - Sri Thyaga Brahma Gana Sabha,"Music, dance, drama, upanyasam, exhibitions",Cultural organisation,Chennai,Active
,Sabha / performing arts centre,Mylapore,,,,,,6.0,,,,,,,,,,Mylapore Fine Arts Club,"Classical music, dance, drama",Cultural organisation,Chennai,Active
,Sabha / performing arts centre,T. Nagar,,,,,,7.0,,,,,,,,,,Krishna Gana Sabha,"Music, dance, drama, cultural festivals",Cultural organisation,Chennai,Active
,Cultural and educational centre,Mylapore,,,,,,8.0,,,,,,,,,,Bharatiya Vidya Bhavan - Chennai Kendra,"Indian culture, music, dance, lectures, publications",Bharatiya Vidya Bhavan,Chennai,Active
,Cultural and educational institution,Mylapore area,,,,,,9.0,,,,,,,,,,Ramakrishna Mission Students' Home / Cultural activities,"Indian culture, education, social and cultural programmes",Ramakrishna Mission,Chennai,Active
,Sabha / performing arts centre,Mylapore,,,,,,10.0,,,,,,,,,,Sri Parthasarathy Swami Sabha,"Carnatic music, dance and cultural programmes",Cultural organisation,Chennai,Active
,Fine arts and performing arts organisation,T. Nagar / Chennai,,,,,,11.0,,,,,,,,,,Kartik Fine Arts,"Music, dance, drama and cultural festivals",Cultural organisation,Chennai,Active
,Cultural academy / sabha,Nungambakkam,,,,,,12.0,,,,,,,,,,Nungambakkam Cultural Academy,"Music, dance, drama and cultural events",Cultural organisation,Chennai,Active
,Cultural organisation,Chennai,,,,,,13.0,,,,,,,,,,Chennai Cultural Academy,"Music, dance, drama and cultural programmes",Cultural organisation,Chennai,Active
,Fine arts / performing arts organisation,Chennai,,,,,,14.0,,,,,,,,,,Indian Fine Arts Society,"Classical music, dance, lectures and festivals",Cultural organisation,Chennai,Active
,Sabha / performing arts organisation,Chennai,,,,,,15.0,,,,,,,,,,Brahma Gana Sabha,Indian classical music and dance,Cultural organisation,Chennai,Active
,Performing arts organisation,Adyar,,,,,,16.0,,,,,,,,,,Hamsadhwani,"Carnatic music, dance and cultural programmes",Cultural organisation,Chennai,Active
,Tamil music and cultural institution,George Town / Raja Annamalai Mandram,,,,,,17.0,,,,,,,,,,Tamil Isai Sangam,"Tamil music, concerts, research and cultural programmes",Cultural organisation,Chennai,Active
,Cultural auditorium / performance venue,George Town,,,,,,18.0,,,,,,,,,,Raja Annamalai Mandram,"Music, dance, drama and public cultural events",Cultural institution,Chennai,Active
,Visual arts centre,Greams Road area,,,,,,19.0,,,,,,,,,,Lalit Kala Akademi - Regional Centre Chennai,"Art exhibitions, workshops and visual arts programmes",Government of India autonomous body,Chennai,Active
,International cultural centre,Adyar,,,,,,20.0,,,,,,,,,,InKo Centre,"India-Korea cultural exchange, exhibitions, performances, workshops",Indo-Korean cultural organisation,Chennai,Active
,International cultural centre,Nungambakkam,,,,,,21.0,,,,,,,,,,Alliance Française of Madras,"French language, cinema, arts, exhibitions and cultural exchange",French cultural network,Chennai,Active
,International cultural centre,Nungambakkam,,,,,,22.0,,,,,,,,,,Goethe-Institut / Max Mueller Bhavan Chennai,"German language, arts, film, exhibitions and cultural exchange",German cultural institute,Chennai,Active
,International cultural centre,Alwarpet,,,,,,23.0,,,,,,,,,,Russian House Chennai,"Russian language, culture, arts and cultural exchange",Russian cultural institution,Chennai,Active
,Artists' community / cultural centre,"Injambakkam, ECR",,,,,,24.0,,,,,,,,,,Cholamandal Artists' Village,"Visual arts, galleries, sculpture and cultural activities",Artists' collective,Chennai Metropolitan Area,Active
,Museum / cultural institution,Egmore,,,,,,25.0,,,,,,,,,,Government Museum Chennai,"Archaeology, art, anthropology, history and exhibitions",Government of Tamil Nadu,Chennai,Active
,Library / cultural institution,Egmore,,,,,,26.0,,,,,,,,,,Connemara Public Library,"Literature, research, heritage collections and public programmes",Government of Tamil Nadu,Chennai,Active
,Heritage cultural venue,Park Town,,,,,,27.0,,,,,,,,,,Victoria Public Hall,"Theatre, public events and heritage activities",Public heritage institution,Chennai,Heritage venue
,Heritage & cultural centre,Triplicane / Marina,,,,,,28.0,,,,,,,,,,Vivekananda House,"Indian heritage, exhibitions, lectures and educational programmes",Ramakrishna Mission,Chennai,Active
,Cultural memorial / public venue,Nungambakkam,,,,,,29.0,,,,,,,,,,Valluvar Kottam,"Tamil literature, cultural events and public programmes",Government of Tamil Nadu,Chennai,Active
,Cultural / public garden space,Teynampet,,,,,,30.0,,,,,,,,,,Semmozhi Poonga,"Tamil cultural identity, horticulture and public programmes",Government of Tamil Nadu,Chennai,Active
